user_post,state,city,provider,pred_sentiment,clusters,cluster_category,d_mbps,u_mbps,lat_ms,tests,devices,created_dt,source
"The pricing for Astro in Asajaya is acceptable, though I wish it offered more features.",Sarawak,Asajaya,Astro,Positive,,Price,31.92,7.38,88.82,9,8,2024-02-01,base_data
"Honestly, Astro in Asajaya doesnâ€™t live up to the promised speeds. Itâ€™s way too slow.",Sarawak,Asajaya,Astro,Negative,,Speed,31.71,9.13,110.62,6,4,2024-02-09,base_data
I expected better speeds from Unifi in Asajaya. Itâ€™s too slow for what I need.,Sarawak,Asajaya,Unifi,Negative,,Speed,31.9,11.83,116.49,9,1,2024-01-19,base_data
The cost for Astro in Asajaya is just too high for what theyâ€™re delivering.,Sarawak,Asajaya,Astro,Negative,,Price,31.74,12.8,99.87,3,2,2024-02-17,base_data
"Honestly, Maxis in Asajaya doesnâ€™t live up to the promised speeds. Itâ€™s way too slow.",Sarawak,Asajaya,Maxis,Negative,,Speed,31.98,6.9,89.26,15,3,2024-04-25,base_data
Iâ€™ve had no speed issues with TIME in Asajaya. Works like a charm.,Sarawak,Asajaya,TIME,Positive,,Speed,31.76,7.97,109.93,5,5,2024-04-16,base_data
"I thought Astro in Asajaya would be affordable, but the cost is just ridiculous for this quality.",Sarawak,Asajaya,Astro,Negative,,Price,31.72,7.7,102.87,16,5,2024-01-28,base_data
"""Astroâ€™s internet frequently fails during classes; I need a more reliable provider.""",Sarawak,Asajaya,Astro,Negative,,Coverage,31.9,8.92,88.39,24,5,2024-03-24,base_data
"""TIME's speed is commendable in Asajaya; our business relies on their stable internet.""",Sarawak,Asajaya,TIME,Positive,,Coverage,31.73,12.92,101.27,6,2,2024-02-02,base_data
"""Unifi's customer service is lacking; it takes too long to get help during critical TIMEs.""",Sarawak,Asajaya,TIME,Negative,,Customer Service,31.86,13.02,101.94,17,5,2024-05-26,base_data
"""Astro's customer service in Asajaya is slow; I need better support.""",Sarawak,Asajaya,Astro,Negative,,Customer Service,31.81,10.74,108.38,8,4,2024-04-02,base_data
"""The customer service from Astro in Asajaya is lacking; I often struggle to get help.""",Sarawak,Asajaya,Astro,Negative,,Customer Service,31.95,8.03,107.09,15,6,2024-01-16,base_data
"TIME, why is the internet down in Asajaya? Been without connection since this morning. Not happy!",Sarawak,Asajaya,TIME,Negative,,Coverage,31.96,10.78,103.05,9,1,2024-04-15,base_data
TM Unifi speeds in Asajaya isn't as fast as normal today. Anyone else experiencing this?,Sarawak,Asajaya,Unifi,Negative,,Speed,31.93,8.52,110.64,8,1,2024-01-02,base_data
"TIME in Asajaya has been steady, though speeds seem to fluctuate every now and then.",Sarawak,Asajaya,TIME,Neutral,,Speed & Coverage,31.69,12.98,110.89,5,1,2024-04-30,base_data
"Unifi in Asajaya is working okay, but I've noticed a slight dip in speeds.",Sarawak,Asajaya,Unifi,Neutral,,Coverage,31.82,10.1,108.43,4,1,2024-03-02,base_data
TIME in Asajaya is a disaster today. I can't get anything done.,Sarawak,Asajaya,TIME,Negative,,Coverage,31.51,12.49,90.37,4,3,2024-02-18,base_data
TIME in Bachok barely works during peak hours. Slow speeds are a big problem.,Kelantan,Bachok,TIME,Negative,,Speed,13.82,5.14,22.89,114,84,2024-01-08,base_data
"For the cost, TIME in Bachok is definitely worth it. Good value!",Kelantan,Bachok,TIME,Positive,,Price,14.09,6.63,60.31,160,82,2024-04-11,base_data
"The performance of Maxis in Bachok is stable, but it could be faster.",Kelantan,Bachok,Maxis,Positive,,Speed,14.67,7.12,34.16,178,51,2024-05-19,base_data
Astro in Bachok barely works during peak hours. Slow speeds are a big problem.,Kelantan,Bachok,Astro,Negative,,Speed,14.25,5.98,75.07,118,76,2024-03-06,base_data
TIME in Bachok feels like they care more about money than service. The price just keeps going up.,Kelantan,Bachok,TIME,Negative,,Price,14.85,6.34,55.61,190,49,2024-03-21,base_data
"The connection with Unifi in Bachok works fine most of the TIME, but there are occasional slowdowns.",Kelantan,Bachok,TIME,Neutral,,Speed,13.71,5.12,16.06,113,13,2024-03-12,base_data
The connection speed with Unifi in Bachok has been solid. Happy with it!,Kelantan,Bachok,Unifi,Positive,,Speed,13.99,5.57,64.34,190,52,2024-05-01,base_data
"Overall, the cost for TIME in Bachok is fair, but it could be more competitive.",Kelantan,Bachok,TIME,Neutral,,Price,14.03,5.16,36.12,150,48,2024-02-28,base_data
Happy with the price from TIME in Bachok. Itâ€™s affordable for what I need.,Kelantan,Bachok,TIME,Positive,,Price,14.02,5.75,46.48,59,20,2024-03-04,base_data
Happy with the speed from Astro in Bachok. Great for streaming and browsing.,Kelantan,Bachok,Astro,Positive,,Speed,14.49,5.78,74.53,211,74,2024-04-30,base_data
"I find the rates from Maxis in Bachok to be average. It gets the job done, but I expected more.",Kelantan,Bachok,Maxis,Negative,,Price,13.76,5.79,72.89,98,74,2024-05-29,base_data
The internet speed from Unifi in Bachok is disappointing. Constantly lags.,Kelantan,Bachok,Unifi,Negative,,Speed,14.63,6.76,54.73,91,55,2024-03-30,base_data
Maxis in Bachok provides consistent speeds that I can rely on. Very satisfied.,Kelantan,Bachok,Maxis,Positive,,Speed,14.5,6.14,49.48,54,21,2024-02-11,base_data
The internet speed from TIME in Bachok is disappointing. Constantly lags.,Kelantan,Bachok,TIME,Negative,,Speed,14.4,7.1,22.41,74,16,2024-02-18,base_data
"""Unifiâ€™s internet is not as fast as promised; my kids often complain about slow speeds.""",Kelantan,Bachok,Unifi,Negative,,Coverage,14.59,5.36,23.8,129,65,2024-04-12,base_data
"""Maxis offers a strong and reliable connection; we can conduct our business operations without issues.""",Kelantan,Bachok,Maxis,Positive,,Coverage,14.39,6.66,14.29,84,52,2024-01-14,base_data
"""TIME's customer service is responsive; they are quick to address any technical issues.""",Kelantan,Bachok,TIME,Positive,,Customer Service,14.23,5.5,53.56,120,48,2024-03-03,base_data
Astro in Bachok has been providing excellent speeds this past week. Really satisfied.,Kelantan,Bachok,Astro,Positive,,Speed,13.58,8.63,36.87,49,25,2024-04-16,base_data
Astro in Baling feels like they care more about money than service. The price just keeps going up.,Kedah,Baling,Astro,Negative,,Price,15.45,10.97,44.59,86,26,2024-02-25,base_data
Astro in Baling is fairly priced for what they offer. Happy with it so far!,Kedah,Baling,Astro,Positive,,Price,18.31,5.93,19.64,94,30,2024-05-09,base_data
TIME in Baling offers fast and reliable speeds. Pleased with the performance.,Kedah,Baling,TIME,Positive,,Speed,15.7,7.6,60.65,435,78,2024-03-06,base_data
"Maxis in Baling has expensive rates, but their service doesnâ€™t match up. Very disappointed.",Kedah,Baling,Maxis,Negative,,Price,17.96,7.24,48.34,324,64,2024-05-26,base_data
"Fairly priced, Maxis in Baling offers good service for what Iâ€™m paying.",Kedah,Baling,Maxis,Positive,,Price,18.13,7.36,45.1,100,23,2024-05-28,base_data
I find Maxis in Baling to be a fair choice for the price. Glad I chose it.,Kedah,Baling,Maxis,Positive,,Price,15.15,11.82,37.69,62,61,2024-02-10,base_data
Unifi in Baling is painfully slow during certain TIMEs of the day. Not reliable.,Kedah,Baling,TIME,Negative,,Speed,15.58,8.5,47.88,154,90,2024-02-08,base_data
The charges from Astro in Baling are absurd. Definitely not worth this price.,Kedah,Baling,Astro,Negative,,Price,15.85,6.86,20.4,91,82,2024-01-28,base_data
"Unifi in Baling provides a decent package, but Iâ€™m not blown away by the value.",Kedah,Baling,Unifi,Neutral,,Price,16.99,7.67,52.3,64,58,2024-04-09,base_data
Maxis in Baling charges premium rates but doesnâ€™t deliver a premium service.,Kedah,Baling,Maxis,Negative,,Price,15.4,6.73,48.61,40,39,2024-02-04,base_data
"Iâ€™m paying too much for Unifi in Baling, especially given the quality of service provided.",Kedah,Baling,Unifi,Negative,,Price,14.78,7.78,28.81,73,35,2024-04-10,base_data
Paying for Maxis in Baling feels like a waste. Way overpriced for the quality of service.,Kedah,Baling,Maxis,Negative,,Price,17.85,8.74,48.42,150,100,2024-03-10,base_data
TIME in Baling is overcharging for mediocre service. Not impressed.,Kedah,Baling,TIME,Negative,,Price,17.42,10.36,16.43,290,150,2024-04-26,base_data
Really impressed with the speeds from Astro in Baling. No complaints here.,Kedah,Baling,Astro,Positive,,Speed,16.06,9.92,49.86,54,25,2024-05-19,base_data
"""Maxis provides fast internet; my children can access their learning materials without issues.""",Kedah,Baling,Maxis,Positive,,Coverage,16.12,5.54,34.72,41,32,2024-04-02,base_data
"""Maxis offers a great connection; our team can collaborate effectively online.""",Kedah,Baling,Maxis,Positive,,Coverage,18.06,10.53,28.14,65,11,2024-05-16,base_data
"""Astro's customer service in Baling is hard to reach; I couldn't get help when my internet was down.""",Kedah,Baling,Astro,Negative,,Customer Service,16.44,7.12,20.38,80,5,2024-02-17,base_data
"""Astroâ€™s customer service in Baling is lacking; itâ€™s hard to get help when things go wrong.""",Kedah,Baling,Astro,Negative,,Customer Service,17.63,6.52,28.67,73,2,2024-02-04,base_data
"TM Unifi in Baling has been slower than normal today. Nothing major, but noticeable.",Kedah,Baling,Unifi,Negative,,Speed,17.78,11.46,24.24,74,1,2024-01-14,base_data
TM Unifi in Baling is constantly cutting out. It's impossible to work with this!,Kedah,Baling,Unifi,Negative,,Coverage,15.85,11.22,35.43,48,34,2024-05-27,base_data
TM Unifi in Baling has been reliable and fast all day. Thanks for the consistency!,Kedah,Baling,Unifi,Positive,,Speed,17.32,5.79,26.42,30,15,2024-01-17,base_data
"TM Unifi in Baling is fine, but there's definitely some lag. Might just be temporary?",Kedah,Baling,Unifi,Neutral,,Speed,14.91,6.15,39.26,90,42,2024-05-04,base_data
TIME in Baling is so slow. I've had enough of this poor service!,Kedah,Baling,TIME,Negative,,Speed & Customer Service,15.49,7.77,18.84,30,4,2024-05-26,base_data
"Unifi in Baling is stable, but there's definitely a bit of lag when browsing.",Kedah,Baling,Unifi,Neutral,,Speed & Coverage,15.99,8.44,52.91,38,1,2024-01-25,base_data
"Unifi in Baling is okay today, but I feel like the connection could be smoother.",Kedah,Baling,Unifi,Positive,,Coverage,18.04,11.42,30.19,44,2,2024-02-19,base_data
Astro in Baling is driving me crazy. It keeps disconnecting and reconnecting all day.,Kedah,Baling,Astro,Negative,,Coverage,16.76,12.13,34.81,15,3,2024-03-13,base_data
TIME in Baling is driving me crazy. Feels like I'm stuck in the past with this speed.,Kedah,Baling,TIME,Negative,,Speed,14.57,10.16,46.47,92,5,2024-02-16,base_data
"Unifi in Baling is performing perfectly today. No buffering or lag, it's been fantastic.",Kedah,Baling,Unifi,Positive,,Speed & Coverage,15.52,6.62,40.47,97,71,2024-04-03,base_data
"Unifi in Baling is impressively fast today. Everything's working so well, no complaints here.",Kedah,Baling,Unifi,Positive,,Speed,16.43,9.3,38.51,19,11,2024-05-27,base_data
Astro in Baling is impressively reliable today. Loving how well everything is working.,Kedah,Baling,Astro,Positive,,Coverage,15.5,9.85,39.01,14,12,2024-01-16,base_data
"Astro in Baling is working really well. No slowdowns, no drops, everything's running smoothly.",Kedah,Baling,Astro,Positive,,Speed,17.65,6.05,48.07,48,13,2024-01-14,base_data
Maxis in Baling is running flawlessly today. Haven't had this good of a connection in a while!,Kedah,Baling,Maxis,Positive,,Speed & Coverage,16.12,13.06,47.94,266,106,2024-02-12,base_data
"Unifi in Bandar Baharu offers services at a fair price, but I'm looking for better options.",Kedah,Bandar Baharu,Unifi,Neutral,,Price,14.8,9.72,25.73,18,16,2024-01-21,base_data
Paying for Maxis in Bandar Baharu feels like a waste. Way overpriced for the quality of service.,Kedah,Bandar Baharu,Maxis,Negative,,Price,16.29,8.33,54.15,45,12,2024-04-14,base_data
"Maxis in Bandar Baharu keeps disconnecting, making it hard to get anything done.",Kedah,Bandar Baharu,Maxis,Negative,,Speed,20.04,9.46,52.71,42,13,2024-02-24,base_data
"The price point for Unifi in Bandar Baharu is reasonable, though I wouldn't call it a deal.",Kedah,Bandar Baharu,Unifi,Neutral,,Price,21.32,6.31,20.65,49,13,2024-04-12,base_data
Using Unifi in Bandar Baharu has been smooth. No issues with speed at all.,Kedah,Bandar Baharu,Unifi,Positive,,Speed,18.09,5.41,12.62,56,24,2024-01-08,base_data
"The pricing for TIME in Bandar Baharu is okay, not great but not terrible either.",Kedah,Bandar Baharu,TIME,Negative,,Price,16.03,9.78,30.72,46,22,2024-05-23,base_data
The charges from Unifi in Bandar Baharu are absurd. Definitely not worth this price.,Kedah,Bandar Baharu,Unifi,Negative,,Price,18.47,7.96,32.95,15,12,2024-03-24,base_data
Connection speed with Unifi in Bandar Baharu has been inconsistent and frustrating.,Kedah,Bandar Baharu,Unifi,Negative,,Speed,16.9,8.06,40.79,32,13,2024-03-05,base_data
Really impressed with the speeds from Astro in Bandar Baharu. No complaints here.,Kedah,Bandar Baharu,Astro,Positive,,Speed,21.19,8.99,39.01,24,10,2024-04-15,base_data
"""Unifi is disappointing; my kids complain about slow speeds during online learning.""",Kedah,Bandar Baharu,Unifi,Negative,,Coverage,17.37,8.16,60.26,41,10,2024-04-28,base_data
"""Astro's internet drops during important meetings; itâ€™s disruptive for our business.""",Kedah,Bandar Baharu,Astro,Negative,,Coverage,19.0,5.63,52.9,37,15,2024-01-01,base_data
"""Unifi's slow speeds impact our video conferences; it creates a lot of frustration during presentations.""",Kedah,Bandar Baharu,Unifi,Negative,,Coverage,21.99,5.91,21.59,48,11,2024-05-11,base_data
"""Maxis has been dependable for our online needs; our business thrives with their support.""",Kedah,Bandar Baharu,Maxis,Positive,,Coverage,18.47,7.28,58.39,38,10,2024-05-11,base_data
"""TIME's customer service is always helpful; they assist us quicKuala Lumpury when we have technical problems.""",Kedah,Bandar Baharu,TIME,Positive,,Customer Service,16.59,8.97,42.42,65,21,2024-03-28,base_data
"""Astroâ€™s customer service in Bandar Baharu is pretty bad; getting someone to help is like pulling teeth.""",Kedah,Bandar Baharu,Astro,Negative,,Customer Service,22.76,6.23,52.24,22,12,2024-04-07,base_data
"""Astro's customer service in Bandar Baharu is a joke; getting help is impossible!""",Kedah,Bandar Baharu,Astro,Negative,,Customer Service,16.4,6.54,58.01,39,18,2024-04-24,base_data
"TM Unifi in Bandar Baharu is working fine, but the speeds are lower than normal.",Kedah,Bandar Baharu,Unifi,Neutral,,Speed,21.5,8.99,52.54,43,15,2024-05-23,base_data
TM Unifi in Bandar Baharu is driving me crazy. It keeps disconnecting every few minutes!,Kedah,Bandar Baharu,Unifi,Negative,,Coverage,16.86,8.3,38.98,45,22,2024-05-27,base_data
TM Unifi in Bandar Baharu is delivering top-notch speeds today. Keep it up!,Kedah,Bandar Baharu,Unifi,Positive,,Speed,15.82,10.48,14.94,24,17,2024-03-02,base_data
"Astro in Bandar Baharu is okay, but I've noticed a few speed drops. Not a dealbreaker though.",Kedah,Bandar Baharu,Astro,Neutral,,Speed & Coverage,20.91,6.12,17.24,22,10,2024-02-22,base_data
Unifi in Bandar Baharu keeps disconnecting. This is beyond annoying!,Kedah,Bandar Baharu,Unifi,Negative,,Coverage,23.81,12.68,12.67,42,25,2024-02-26,base_data
"The rates for Maxis in Barat Daya are affordable, and the service is good for the price.",Pulau Pinang,Barat Daya,Maxis,Positive,,Price,19.44,9.65,23.17,1250,316,2024-03-28,base_data
Iâ€™ve had a reliable experience with the speed of Maxis in Barat Daya; it gets the job done.,Pulau Pinang,Barat Daya,Maxis,Positive,,Speed,16.6,12.48,12.94,912,268,2024-04-25,base_data
Using Maxis in Barat Daya has been smooth. No issues with speed at all.,Pulau Pinang,Barat Daya,Maxis,Positive,,Speed,22.45,12.24,38.52,261,189,2024-01-10,base_data
"Astro in Barat Daya has expensive rates, but their service doesnâ€™t match up. Very disappointed.",Pulau Pinang,Barat Daya,Astro,Negative,,Price,16.18,11.51,40.32,274,118,2024-04-13,base_data
Really impressed with the speeds from Maxis in Barat Daya. No complaints here.,Pulau Pinang,Barat Daya,Maxis,Positive,,Speed,19.32,9.68,40.69,314,115,2024-05-26,base_data
Unifi in Barat Daya barely works during peak hours. Slow speeds are a big problem.,Pulau Pinang,Barat Daya,Unifi,Negative,,Speed,18.21,13.07,38.73,197,150,2024-02-12,base_data
"Overall, the speed from Maxis in Barat Daya meets my requirements, though itâ€™s not remarkable.",Pulau Pinang,Barat Daya,Maxis,Neutral,,Speed,18.12,13.39,38.18,432,100,2024-05-16,base_data
Maxis in Barat Daya barely works during peak hours. Slow speeds are a big problem.,Pulau Pinang,Barat Daya,Maxis,Negative,,Speed,23.06,11.8,29.56,310,92,2024-05-11,base_data
The internet speed with Unifi in Barat Daya has been great. Works well for me.,Pulau Pinang,Barat Daya,Unifi,Positive,,Speed,18.02,12.18,18.37,341,276,2024-03-11,base_data
"I think the cost for Unifi in Barat Daya is adequate for my basic needs, though more options would be nice.",Pulau Pinang,Barat Daya,Unifi,Neutral,,Price,23.75,12.75,16.52,249,217,2024-03-12,base_data
Unifi in Barat Daya offers fast and reliable speeds. Pleased with the performance.,Pulau Pinang,Barat Daya,Unifi,Positive,,Speed,18.65,12.9,47.05,541,127,2024-04-30,base_data
"""TIME offers great value; my kids can access their classes without disruptions.""",Pulau Pinang,Barat Daya,TIME,Positive,,Coverage,22.43,8.58,31.25,421,247,2024-04-22,base_data
"""Unifi's frequent disconnections are irritating; it interrupts my children's studies.""",Pulau Pinang,Barat Daya,Unifi,Negative,,Coverage,16.85,9.27,40.85,311,299,2024-05-10,base_data
"""Maxis offers a great service; I can deliver my lectures online without lag.""",Pulau Pinang,Barat Daya,Maxis,Positive,,Coverage,15.79,9.24,22.97,875,232,2024-02-07,base_data
"""TIME's connection allows me to focus on teaching; itâ€™s been very reliable.""",Pulau Pinang,Barat Daya,TIME,Positive,,Coverage,18.43,9.85,24.22,216,143,2024-02-10,base_data
"""Unifi's connection issues make it hard for me to engage my students.""",Pulau Pinang,Barat Daya,Unifi,Negative,,Coverage,22.29,9.42,37.63,671,195,2024-01-08,base_data
"""TIME's service quality is commendable; we can conduct webinars and online training without issues.""",Pulau Pinang,Barat Daya,TIME,Positive,,Coverage,22.02,9.51,44.96,124,85,2024-03-01,base_data
"""TIME's internet quality is excellent; we can conduct our business meetings online without any lag.""",Pulau Pinang,Barat Daya,TIME,Positive,,Coverage,19.52,12.34,29.64,556,289,2024-05-05,base_data
"""TIMEâ€™s support is prompt and helpful; we can count on them during technical issues.""",Pulau Pinang,Barat Daya,TIME,Positive,,Customer Service,20.76,8.85,15.35,223,125,2024-05-12,base_data
"""Astro's support in Barat Daya is lacking; they take too long to address my issues.""",Pulau Pinang,Barat Daya,Astro,Negative,,Customer Service,14.92,9.95,41.37,551,192,2024-02-06,base_data
"""Astroâ€™s customer service in Barat Daya is disappointing; they take too long to respond to my issues.""",Pulau Pinang,Barat Daya,Astro,Negative,,Customer Service,16.81,7.7,20.71,282,165,2024-03-15,base_data
"""Astro's internet in Barat Daya is painfully slow; itâ€™s impossible to get help when thereâ€™s a problem!""",Pulau Pinang,Barat Daya,Astro,Negative,,Customer Service,15.24,7.91,38.4,341,211,2024-02-28,base_data
Anyone else experiencing slower speeds on Maxis in Barat Daya? Could it be a temporary issue?,Pulau Pinang,Barat Daya,Maxis,Neutral,,Speed,15.71,8.47,23.09,260,83,2024-03-03,base_data
TIME internet in Barat Daya is so unstable today. It's been dropping in and out all day!,Pulau Pinang,Barat Daya,TIME,Negative,,Coverage,17.34,11.99,19.9,892,291,2024-04-12,base_data
TIME internet in Barat Daya is super fast today. Thanks for the great service!,Pulau Pinang,Barat Daya,TIME,Positive,,Speed & Coverage,29.09,10.45,78.41,649,144,2024-03-29,base_data
TIME in Batang Padang is painfully slow during certain TIMEs of the day. Not reliable.,Perak,Batang Padang,TIME,Negative,,Speed,20.42,6.5,18.16,305,116,2024-01-16,base_data
Really impressed with the speeds from Maxis in Batang Padang. No complaints here.,Perak,Batang Padang,Maxis,Positive,,Speed,19.67,7.22,55.9,261,129,2024-03-02,base_data
"Unifi in Batang Padang has expensive rates, but their service doesnâ€™t match up. Very disappointed.",Perak,Batang Padang,Unifi,Negative,,Price,16.19,11.38,50.93,296,156,2024-04-03,base_data
TIME in Batang Padang is overcharging for mediocre service. Not impressed.,Perak,Batang Padang,TIME,Negative,,Price,16.41,9.09,24.44,257,153,2024-03-01,base_data
Not impressed with Maxis in Batang Padang. Itâ€™s just too costly for what Iâ€™m getting.,Perak,Batang Padang,Maxis,Negative,,Price,15.42,10.5,64.3,890,321,2024-01-18,base_data
Unifi in Batang Padang needs to improve their speeds. Connection is unstable too often.,Perak,Batang Padang,Unifi,Negative,,Speed,18.36,5.26,54.18,280,141,2024-05-09,base_data
Happy with the price from TIME in Batang Padang. Itâ€™s affordable for what I need.,Perak,Batang Padang,TIME,Positive,,Price,21.7,12.0,38.84,522,211,2024-03-24,base_data
Using Astro in Batang Padang has been smooth. No issues with speed at all.,Perak,Batang Padang,Astro,Positive,,Speed,20.53,8.58,57.89,264,134,2024-02-01,base_data
"""Unifi's connection drops during important presentations; I need more stability.""",Perak,Batang Padang,Unifi,Negative,,Coverage,15.78,11.65,57.15,318,200,2024-01-23,base_data
"""Maxis provides a fast and reliable connection; our business can function efficiently.""",Perak,Batang Padang,Maxis,Positive,,Coverage,15.75,7.85,19.07,320,179,2024-05-03,base_data
"""TIME's internet has been a game changer for our team; we can collaborate seamlessly.""",Perak,Batang Padang,TIME,Positive,,Coverage,17.84,5.63,62.79,212,124,2024-02-11,base_data
"""Maxis has been a solid choice for our business; their service is consistently good.""",Perak,Batang Padang,Maxis,Positive,,Coverage,20.3,11.6,55.75,289,159,2024-05-07,base_data
"""Maxis provides a stable connection; we rely on them for our online business operations.""",Perak,Batang Padang,Maxis,Positive,,Coverage,21.74,12.34,23.32,249,111,2024-01-19,base_data
"""Astro's internet service in Batang Padang is unreliable; it affects our online presentations.""",Perak,Batang Padang,Astro,Negative,,Coverage,20.98,5.4,37.72,201,168,2024-04-05,base_data
"""TIME's support in Batang Padang is excellent; they helped me resolve my issues promptly.""",Perak,Batang Padang,TIME,Positive,,Customer Service,16.38,7.94,12.62,265,167,2024-02-13,base_data
"""Astro's customer service in Subang is frustrating; they are slow to respond when there are issues.""",Perak,Batang Padang,Astro,Negative,,Customer Service,18.21,9.33,45.57,204,128,2024-02-13,base_data
"""Astro's service in Batang Padang has been terrible; Iâ€™ve waited hours for a simple issue to be resolved!""",Perak,Batang Padang,Astro,Negative,,Customer Service,16.08,6.66,30.77,197,142,2024-05-18,base_data
Is anyone else experiencing intermittent connection with Maxis in Batang Padang? Just wondering if it's an area-wide issue.,Perak,Batang Padang,Maxis,Neutral,,Coverage,14.66,12.03,60.04,566,113,2024-05-26,base_data
Happy with the speed from Astro in Batu Pahat. Great for streaming and browsing.,Johor,Batu Pahat,Astro,Positive,,Speed,21.23,9.26,49.22,1250,472,2024-02-20,base_data
Maxis in Batu Pahat provides consistent speeds that I can rely on. Very satisfied.,Johor,Batu Pahat,Maxis,Positive,,Speed,21.9,6.3,54.55,972,422,2024-01-27,base_data
"TIME in Batu Pahat provides a decent package, but Iâ€™m not blown away by the value.",Johor,Batu Pahat,TIME,Neutral,,Price,18.8,9.4,20.77,781,434,2024-05-15,base_data
I expected better speeds from Maxis in Batu Pahat. Itâ€™s too slow for what I need.,Johor,Batu Pahat,Maxis,Negative,,Speed,17.74,6.04,19.73,585,311,2024-05-18,base_data
